Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
466,Matt Thomas\thomama02,SG,26,UTA,6,0,9.2,1.2,4.3,.269,0.5,3.3,.150,0.7,1.0,.667,.327,0.0,0.0,,0.2,1.3,1.5,0.8,0.2,0.0,0.7,0.7,2.8
467,Tristan Thompson\thomptr01,PF,29,BOS,41,32,22.6,3.3,6.1,.536,0.0,0.1,.000,3.3,6.1,.542,.536,1.4,2.3,.604,3.0,5.1,8.2,1.1,0.4,0.5,1.0,2.1,8.0
468,Sindarius Thornwell\thornsi01,SG,26,NOP,14,1,5.2,0.5,1.5,.333,0.2,0.6,.333,0.3,0.9,.333,.405,0.0,0.1,.000,0.1,0.3,0.4,0.3,0.4,0.1,0.3,0.2,1.2
469,Matisse Thybulle\thybuma01,SG,23,PHI,53,6,19.4,1.5,3.5,.412,0.7,2.2,.307,0.8,1.4,.575,.505,0.2,0.3,.500,0.5,1.4,1.9,0.9,1.5,1.0,0.4,2.0,3.7
470,Killian Tillie\tilliki02,C,22,MEM,11,0,9.9,0.9,3.4,.270,0.5,2.1,.217,0.5,1.3,.357,.338,0.4,0.5,.800,0.5,0.8,1.4,0.4,0.5,0.5,0.1,1.2,2.6
471,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,44,7,18.3,2.7,5.0,.536,0.3,1.1,.300,2.3,3.9,.606,.570,0.7,1.0,.690,1.2,2.9,4.1,1.3,0.8,0.6,0.7,2.1,6.4
472,Anthony Tolliver\tollian01,F-C,35,PHI,1,0,14.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0
473,Obi Toppin\toppiob01,PF,22,NYK,47,0,11.3,1.7,3.4,.481,0.4,1.4,.277,1.3,2.1,.619,.537,0.3,0.5,.727,0.4,1.8,2.2,0.5,0.3,0.2,0.4,1.0,4.0
474,Juan Toscano-Anderson\toscaju01,SG,27,GSW,39,15,17.9,2.0,3.4,.582,0.6,1.5,.439,1.4,2.0,.688,.675,0.4,0.6,.739,0.6,3.3,3.8,2.2,0.6,0.4,0.9,1.9,5.1
475,Axel Toupane\toupaax01,SF,28,MIL,8,1,7.6,0.5,1.4,.364,0.1,0.3,.500,0.4,1.1,.333,.409,0.6,0.9,.714,0.0,0.8,0.8,0.5,0.3,0.4,0.0,0.8,1.8
